,Descripcion,Amenidades,Detalles,Precio,Direccion
10,"Sector Plaza Sendero por Francisco Villarreal y IV Siglos EXCELENTES DESCUENTOS

Fracc privado

Súper descuentos y promociones que aplicar 
3 recámaras (recamara principal con baño y closet vestidor)
2.5 baños
Sala,comedor,cocina
Patio
Fracc. con gimnasio y casa club
Con accesos controlados",[],"['Recámara(s)\n3', 'Baños\n3', 'Garage\n2', 'Terreno\n130m2', 'Vendedor(a)\nInmobiliaria']","$1,709,000",Cd. Juarez
11,"Sector Ejercito Nacional/Paseo de la Victoria/Gomez Morín

3 recámaras 
3.5 baños
Recamara principal con baño y closet vestidor
Estancia
Cuarto de lavandería 
Sala,comedor,cocina
Tercer nivel con espacio para recamara o cuarto de juego
Área de terraza con pérgola 

Fracc Nuevo, privado, acabados de lujo, con amenidades gimnasio, canchas, casa club, se localiza en la Zona Dorada, rodeado de las principales avenidas que conectan rápidamente con las mejores áreas comerciales y servicios de la ciudad.",[],"['Recámara(s)\n3', 'Baños\n4+', 'Garage\n2', 'Terreno\n171m2', 'Vendedor(a)\nInmobiliaria']","$4,062,000",Cd. Juarez
12,"COL. LUIS ECHEVERRIA 
 CONSTRUCCION CON FUNCIONAL DISTRIBUCION, LOSAS DE CONCRETO CON FIBRA Y ACERO.
BONITOS DE PARTAMENTOS CADA UNO CONSTA CON AREA DE SALA, COMEDOR, COCINA, UNA RECAMARA CON CLOSET Y CENTRO DE ENTRETENIMIENTO, BAÑO COMPLETO, AREA DE LAVADO Y CAJON DE ESTACIONAMIENTO.
 
DEPARTAMENTOS SEMI AMUEBLADOS EQUIPADOS CON:
-CLOSET CON CENTRO DE ENTRETENIMIENTO.
-COCINETA CON BASE DE CONCRETO FORRADO CON CERAMICA
-INSTALACION DE TUBERIA DE COBRE PARA GAS LP
-CUARTO DE LAVANDERIA
-VENTILADOR CON LAMPARA EN TECHO CON FOCOS LED EN SALA COMEDOR
-7 MINISPLIT 1 TONELADA EN RECAMARA Y 4 AIRES ACONDICIONADOS PORTATILES.
-BOILER DE PASO
-BAÑO COMPLETO
-PISOS DE CERAMICA EN TODAS LAS AREAS
-HERRERIA EN PUERTA Y VENTANA, REJA EN CADA DEPARTAMENTO QUEDANDO ASEGURADO 
-CADA ACCESO INDIVIDUALMENTE.
-AREA DE ESTACIONAMIENTO DENTRO DEL PREDIO CON REJA.                                                         
-AREA E ESTACIONAMIENTO CON GRAVA
-ESTACIONAMIENTO PARA 8 A 10 AUTOS 
-TAMBOS DE BASURA
-AREA COMUN         
 TERRENO 487.500 M2      CONSTRUCION 543.82 M2
PRECIO $4,995,000
 ",[],"['Recámara(s)\n1', 'Baños\n1', 'Garage\n1', 'Terreno\n487m2', 'Vendedor(a)\nInmobiliaria']","$4,995,000",Cd. Juarez
13,"Hermosa casa recién remodelada, totalmente Nueva.
T.   119.00     m2                                    C.  67 m2

SOLO VENTA DE CONTADO

Casa de una planta , con 3 recamaras una de ellas Nueva recién construida.
Sala, comedor, cocina, patio, pasillo de servicio, cochera para un auto.

Interior
• Sala.
• Cocina con gabinetes de cocina, tarja y llaves mezcladoras.
• Comedor.
• 1 Baño completo (muebles de baño nuevos y cerámica en área de regadera.)
• Pintura nueva en toda la casa.
• Piso de cerámica nuevos en toda la casa.


Exterior.
• Pasillo de servicio.
•  patio trasero.
• Estacionamiento para 1 auto.
• Portón en cochera.
• Pintura nueva exterior.
• Rejas en puertas y ventanas.
• Impermeabilizante en techo.

Acerca del Fraccionamiento.
• Cerca de centros comerciales, supermercados, cines, hospitales y vías de acceso rápidas.",[],"['Recámara(s)\n3', 'Baños\n1', 'Garage\n1', 'Vendedor(a)\nInmobiliaria']","$890,000",Jardines del Aeropuerto
14,"El fraccionamiento cuenta  con gimnasio y casa club 

Equipamiento:
Cocina integral 
Closet en cada recámara",[],"['Recámara(s)\n3', 'Baños\n2', 'Medio Baños\n1', 'Garage\n2', 'Terreno\n130m2', 'Vendedor(a)\nInmobiliaria']","$2,200,000",Cd. Juarez
15,"FRACCIONAMIENTO JARDINES DE SENECU 
Calle Primavera y Gomez Morin
Jardines de Senecú

2 ESTANCIAS 
Incluye celdas solares.
 
*PLANTA BAJA:*
Cocina integral con barra
Sala y comedor
Baño de visitas en planta baja
Estancia tipo terraza, con chimenea y asadores
Cuarto de herramientas
Cochera cerrada y eléctrica.
 
*PLANTA ALTA*
3 recámaras, la principal con baño y closet vestidor.
2 amplias recámaras secundarias, con closet.
Estancia de TV.
Baño completo.
 
Privada de sólo 22 casas
Encino en interiores.
Vitral doble en puerta principal.
Insulada en paredes exteriores.
Impermeabilizada.
Celdas Solares
*Equipada*
Aire, calefactores y boiler.
Abanicos y Shutters.
Cochera eléctrica.
Patio con fuente
Terraza con chimenea

$175,000 DÓLARES",[],"['Recámara(s)\n3', 'Baños\n2', 'Medio Baños\n1', 'Garage\n2', 'Terreno\n254m2', 'Vendedor(a)\nInmobiliaria']","$3,325,000",Cd. Juarez
16,"Francisco Villarreal y Gomez Morin 


3 recámara ( recámara principal con baño y closet vestidor)
2.5 baños 
Estancia
Sal
Comedor
Cocina
Cuarto de lavandería en planta baja

Construcción con Aislamiento térmico en toda la casa
ventanas de doble vidrio,amplios espacios, ubicado en la mejor zona del sector sendero
Excelentes descuentos",[],"['Recámara(s)\n3', 'Baños\n2', 'Medio Baños\n1', 'Garage\n2', 'Terreno\n131m2', 'Vendedor(a)\nInmobiliaria']","$2,018,000",Cd. Juarez
17,"Sector Jupiter

3 recamaras ( recámara principal con baño y closet vestidor)
2.5 baños
Estancia
Cuarto de lavandería en planta alta
Sala
Comedor
Cocina
Amplio patio

Ubicadas en Jupiter y calle Parral
Precio 2’193,000 pesos
Terreno 161.5 m2

 
Citas 
Nora Espinosa",[],"['Recámara(s)\n3', 'Baños\n2', 'Medio Baños\n1', 'Garage\n2', 'Terreno\n162m2', 'Vendedor(a)\nInmobiliaria']","$2,193,000",Cd. Juarez
18,"CASA DE UN PISO EN VENTA
Cercana a avenida principal. Hospital, escuelas, plazas comerciales
Construcción ladrillo. 

Sala comedor-cocina
Mezzanine
 (techos doble tura espacio abierto) 
3 Recámaras
3. 5 baños
Patio interior
Patio privado para recámara principal

Equipamiento: 
Unidad paquete (dos unidad paquete 5 y 6 toneladas)
Closets Modul studio
Spots
Cocina modular (modul studio)  con barra de cuarzo color negro
Estufa(parrilla), Campana, Horno de micoondas, Horno, Tarja mezcladora,
Ventanas doble vidrio marco de vinil
Pisos rectificados 60x60
Tina de hidromasaje en baño recamara principal
Aislamiento en muros y techo
porton electrico en cochera
preparacion para paneles solares
Nora Espinosa",[],"['Recámara(s)\n3', 'Baños\n3', 'Medio Baños\n1', 'Garage\n2', 'Terreno\n362m2', 'Vendedor(a)\nInmobiliaria']","$6,500,000",Paseo del Bosque
19,"Fraccionamiento privado frente a parque, con fácil acceso a centros comerciales, escuelas, hospitales, vías rápidas.

 * Estancia
 * 3 recamaras
 * 2 1/2 baños
 * Cochera para 2 autos
 * Sala
 * Comedor
 * Cocina
 * Cuarto de lavado

Se aceptan créditos bancarios, infonavit y fovissste. 
Te apoyamos a tramitar tu crédito.",[],"['Recámara(s)\n3', 'Baños\n2', 'Medio Baños\n1', 'Garage\n2', 'Terreno\n190m2', 'Vendedor(a)\nInmobiliaria']","$3,422,000",Pradera Dorada
